episode_id,start_idx,end_idx,num_steps,mean_one_step_l2,mean_one_step_mse,mean_rollout_l2_h3,one_step_score,rollout_score,predictive_hardness_score,rank_predictive_easy_to_hard
42,5289,5425,136,2.384522048632304,1.389626853030037,5.620670229868781,0.2512824,0.25110236,0.2511924,97
43,5425,5543,118,2.892215787090807,2.7153328011114883,7.195124901895937,0.4108359,0.43333304,0.42208445,182
44,5543,5670,127,2.2370887904886216,1.2412459461225405,5.362613114618486,0.20494838,0.22123428,0.21309133,68
45,5670,5822,152,2.1066473994823482,1.0905564886005903,5.209460014864902,0.16395442,0.20350802,0.18373123,52
46,5822,5905,83,2.5569314004444497,1.7211208229021329,5.965443673729896,0.30546567,0.29100716,0.29823643,126
47,5905,6014,109,2.639772816112748,1.6158593930993919,6.363657166935363,0.33150035,0.33709723,0.3342988,154
48,6014,6152,138,2.719895995446365,1.9655432511311377,6.517422251348142,0.35668075,0.3548943,0.35578752,160
49,6152,6235,83,2.115532514525623,1.1894811660778233,4.865639661252499,0.16674675,0.16371353,0.16523014,44
50,6235,6304,69,2.6872252208345078,2.009890298852149,6.548828370643385,0.34641325,0.35852933,0.3524713,158
51,6304,6377,73,2.973891246649954,2.197067017563515,7.47512537411281,0.43650413,0.4657409,0.45112252,186
52,6377,6513,136,3.1673162990146215,2.3973577320575714,7.644283585082319,0.49729204,0.4853196,0.49130583,193
53,6513,6686,173,2.567792038931403,1.587181395569513,6.203747389597051,0.30887887,0.31858894,0.3137339,139
54,6686,6891,205,2.66061626024106,1.7826829345933362,5.899737304390067,0.33805084,0.28340217,0.31072652,138
55,6891,6997,106,1.824795249814079,0.8192625718457358,4.082666237956112,0.07537642,0.07309053,0.07423347,12
56,6997,7102,105,2.1412671878933907,1.1357179544507885,4.7630057445928164,0.17483442,0.15183446,0.16333443,41
57,7102,7185,83,1.6894885992131583,0.6582436424839061,3.976793625950813,0.032853447,0.060836617,0.046845034,4
58,7185,7303,118,1.9063315694658165,0.9300169934574355,4.343064136090486,0.101000935,0.10322954,0.102115236,17
59,7303,7425,122,2.1215448891820987,1.0509696783851985,4.905685849550392,0.16863626,0.16834855,0.1684924,47
60,7425,7485,60,1.8243678121243494,0.7952721086093935,3.9929172595342,0.07524209,0.0627028,0.06897244,9
61,7485,7635,150,2.7965703362586516,1.843425851690289,6.441732277675551,0.38077727,0.3461338,0.36345553,168
62,7635,7702,67,1.5849500610069795,0.6089891991436933,3.4511714656837285,0.0,0.0,0.0,1
63,7702,7842,140,2.187080072627651,1.1917903203007987,5.026876255978633,0.18923208,0.18237539,0.18580374,54
64,7842,7945,103,1.7523761718880897,0.7530864375533864,4.249221199750901,0.052617196,0.092367955,0.07249258,11
65,7945,8111,166,2.395842178662618,1.5571598099713975,5.6213759377690184,0.25484,0.25118405,0.253012,100
66,8111,8178,67,2.925624890760942,2.010998260568489,7.494903899729252,0.4213354,0.4680301,0.44468275,184
67,8178,8282,104,2.3709816649122146,1.465331597307932,5.54027507682838,0.24702704,0.24179725,0.24441215,93
68,8282,8372,90,2.2805065733663152,1.2608916199441706,5.322756135600737,0.21859334,0.21662115,0.21760724,74
69,8372,8522,150,2.171946375962072,1.1747466304258212,5.237748442052984,0.184476,0.20678218,0.19562909,60
70,8522,8708,186,2.3798271691476978,1.4307632766059928,5.757693914767823,0.24980694,0.26696175,0.25838435,103
71,8708,8842,134,2.536802824278523,1.5298347196408681,6.073503099325049,0.29913986,0.30351418,0.30132702,129
72,8842,8990,148,2.3212607219105674,1.4922119339763307,5.671259449062676,0.23140119,0.25695765,0.24417943,92
73,8990,9102,112,1.945550837763795,0.9905532832081253,4.407213527128237,0.113326415,0.110654324,0.11199037,22
74,9102,9220,118,1.6654325431992865,0.6549907697078127,3.778572218832762,0.02529332,0.03789405,0.031593688,3
75,9220,9318,98,2.223423246255855,1.2671007272048094,5.2503657504131915,0.2006537,0.20824254,0.20444812,66
76,9318,9407,89,2.5934815515171397,1.8801981629803777,6.71436467974685,0.31695235,0.37768885,0.34732062,156
77,9407,9529,122,1.967536699673361,0.9470067966021289,4.492101597184894,0.120235935,0.12047944,0.12035769,25
78,9529,9705,176,2.4617367720603944,1.6014848269309316,5.924836339289054,0.27554876,0.2863072,0.28092796,116
79,9705,9775,70,2.586115710977195,1.63153762931841,5.775189376589077,0.31463748,0.26898673,0.29181212,122
80,9775,9892,117,3.1643360842918526,2.618275068379168,7.871064259294878,0.49635544,0.5115677,0.50396156,196
81,9892,10005,113,2.357152670887964,1.38276788492554,5.2078380595554,0.242681,0.2033203,0.22300065,78
82,10005,10099,94,1.7604652784203971,0.8471959818114516,4.138639218204624,0.055159368,0.07956897,0.06736417,8
83,10099,10238,139,2.6921338931373926,2.022754129211324,6.530765387941809,0.3479559,0.3564387,0.3521973,157
84,10238,10318,80,2.1005202584628817,1.260290440502046,4.60442571903204,0.16202883,0.13348007,0.14775446,35
85,10318,10429,111,2.2524095562371342,1.200337481227788,5.135666687179495,0.20976326,0.19496702,0.20236513,63
86,10429,10533,104,2.1210906285684086,1.0792297406248677,4.7743532350747895,0.16849351,0.15314785,0.16082068,40
87,10533,10648,115,2.1918136859149264,1.2370778190200789,5.512059318167823,0.19071972,0.2385315,0.21462561,71
88,10648,10729,81,2.91316075399518,2.071545838564634,6.519395557733683,0.4174183,0.35512272,0.38627052,176
89,10729,10867,138,2.659842839206222,1.818658350592982,6.052989890398803,0.33780777,0.30113995,0.31947386,144
90,10867,10976,109,2.0978434444577605,1.0999092957073893,5.002669834865714,0.16118759,0.17957368,0.17038064,48
91,10976,11077,101,2.7297090166807174,1.936063197478652,6.554886510177535,0.3597647,0.35923052,0.3594976,163
92,11077,11155,78,2.493694221818602,1.4942255122708035,6.184554502169291,0.28559205,0.3163675,0.3009798,128
93,11155,11219,64,2.2493045680106634,1.127483314583226,5.1152351840597685,0.20878744,0.19260223,0.20069483,62
94,11219,11286,67,1.8317770011948817,0.9030084924518385,3.736440673470497,0.07757058,0.033017658,0.05529412,6
95,11286,11393,107,2.736402498101288,2.0712672443181837,6.661093684343191,0.36186826,0.37152314,0.3666957,170
96,11393,11583,190,2.5187829732894897,1.6683307467866195,5.756494891834769,0.29347673,0.266823,0.28014988,114
97,11583,11694,111,2.9037974709814245,2.191269436546347,6.343016605686258,0.41447568,0.33470824,0.37459195,173
98,11694,11762,68,2.4895656006549722,1.4781925750534926,5.83641883960137,0.28429455,0.27607355,0.28018403,115
99,11762,11844,82,2.0878770469147483,1.0676856363813083,4.674226150482515,0.15805544,0.14155893,0.14980718,37
100,11844,11961,117,2.358286054997609,1.3269337845227585,5.699249507042399,0.24303718,0.26019728,0.25161722,98
101,11961,12053,92,2.3479591267449513,1.585970675183849,5.371185668398825,0.23979172,0.22222649,0.2310091,87
102,12053,12167,114,2.7245245987335136,1.8341272743006722,6.57173381195412,0.35813537,0.36118045,0.3596579,164
103,12167,12308,141,1.7592385956219265,0.7271647159542356,3.9641462849534075,0.054773856,0.059372786,0.05707332,7
104,12308,12445,137,3.2113406596814884,2.573337291093434,7.599618983802511,0.51112765,0.48015004,0.49563885,195
105,12445,12520,75,2.5645543425469786,1.817480234278215,5.718846384021971,0.30786136,0.26246548,0.2851634,121
106,12520,12646,126,2.966316845655441,2.2389439352303744,6.982876889104766,0.43412372,0.408767,0.42144537,181
107,12646,12843,197,3.4439606052272174,3.5144623567027096,8.527647754580704,0.58423334,0.587562,0.5858977,203
108,12843,12955,112,2.4944306671082437,1.6163631921617296,5.870546067253165,0.2858235,0.28002352,0.28292352,119
109,12955,13100,145,3.207617648773723,2.8081320729106665,7.582293293005984,0.5099576,0.47814474,0.49405116,194
110,13100,13231,131,1.9852431416511536,1.0043979559666836,4.578069941606373,0.12580056,0.1304296,0.12811509,29
111,13231,13329,98,2.002770259361906,0.9786780096552113,4.384310130069131,0.13130882,0.10800343,0.11965613,23
112,13329,13400,71,2.584707429579326,1.594516755427633,6.200308177401038,0.3141949,0.31819087,0.31619287,142
113,13400,13549,149,2.5545336978661046,1.6384804175436698,6.306670165225251,0.30471215,0.33050144,0.3176068,143
114,13549,13714,165,2.206336255298882,1.2703309146142223,5.168721267102677,0.19528374,0.19879283,0.1970383,61
115,13714,13811,97,2.3964188750833273,1.4470774940758322,5.715773822145259,0.2550212,0.26210985,0.25856555,104
116,13811,13989,178,2.1963978696004145,1.275664043796938,4.628813497679574,0.1921604,0.13630277,0.16423158,42
117,13989,14105,116,2.3993577640989554,1.4691578438100608,5.3048735909757365,0.25594485,0.21455139,0.23524812,89
118,14105,14207,102,3.154207773137801,2.380075966367627,7.407003961428248,0.4931724,0.4578564,0.4755144,190
119,14207,14328,121,3.1155534679690997,2.6678884552791713,8.174772589893664,0.48102447,0.54671955,0.513872,198
120,14328,14393,65,2.3386673713102937,1.4930332012008876,5.304701730128257,0.2368716,0.2145315,0.22570154,81
121,14393,14530,137,2.1969377678983353,1.2694980757694472,5.110514877002631,0.19233008,0.1920559,0.19219299,57
122,14530,14649,119,2.4891397005925744,1.5736341356473453,6.3219725535861375,0.2841607,0.33227256,0.30821663,135
123,14649,14854,205,2.003442641055467,1.080636608914253,4.74526029648167,0.13152014,0.14978057,0.14065036,33
124,14854,15002,148,1.8756265180046057,0.8160634475449721,4.497737786687654,0.09135122,0.12113179,0.10624151,19
125,15002,15161,159,2.234084334177307,1.20901289438428,5.453600698556656,0.20400417,0.23176537,0.21788478,75
126,15161,15332,171,2.614818954818389,1.8648816391825676,6.402406299398059,0.32365808,0.34158212,0.33262008,151
127,15332,15473,141,1.7911975187914713,0.7239153329815183,4.198052081508913,0.06481762,0.08644553,0.075631574,14
128,15473,15569,96,3.2054799933182565,2.6737804837917025,7.535373895399032,0.5092858,0.4727142,0.491,192
129,15569,15725,156,2.9588567041581677,2.205824221574491,7.416887623811859,0.4317792,0.45900035,0.44538978,185
130,15725,15877,152,2.3550453028142058,1.3106300511600955,5.571757208580939,0.24201871,0.24544106,0.24372989,91
131,15877,16060,183,2.070991881601103,1.0214603575775503,4.705527314874861,0.15274891,0.14518179,0.14896536,36
132,16060,16215,155,2.3104388876394792,1.3252475078326542,5.0950363674446155,0.2280002,0.19026439,0.20913228,67
133,16215,16346,131,2.2055921202668776,1.2254324634774374,5.102352786343545,0.19504988,0.1911112,0.19308054,58
134,16346,16469,123,2.3044645112068927,1.3054331815267195,5.182747468352318,0.22612263,0.20041625,0.21326944,69
135,16469,16572,103,2.4361757010805842,1.4923229429450835,5.632465327978134,0.26751566,0.25246754,0.2599916,105
136,16572,16697,125,2.3737842366099358,1.483767484915593,6.396398364031901,0.24790782,0.34088677,0.2943973,125
137,16697,16789,92,2.698887302980318,1.8418097071922743,6.650109214729138,0.3500783,0.37025177,0.36016506,165
138,16789,16975,186,2.731941800826305,1.9113178517770122,6.537195826488766,0.3604664,0.35718295,0.35882467,162
139,16975,17080,105,2.2331541822506833,1.2716520390688226,5.585011333227158,0.20371185,0.24697512,0.2253435,80
140,17080,17192,112,2.468536226599066,1.5534614854836248,6.404760310956098,0.27768564,0.3418546,0.3097701,136
141,17192,17378,186,2.553349942774386,1.7788527908156047,6.3656005429439855,0.30434012,0.33732215,0.32083112,146
142,17378,17500,122,2.2676308327469945,1.2601199146698823,5.545120464653528,0.21454686,0.24235806,0.22845246,84
143,17500,17646,146,2.533345457397658,1.8356588448686846,6.052234840559793,0.2980533,0.30105254,0.29955292,127
144,17646,17779,133,2.1485164508675085,1.1903406081043861,4.580928910695589,0.17711265,0.1307605,0.15393658,38
145,17779,17946,167,2.4592813585537026,1.446653798985553,5.774884051666027,0.27477708,0.2689514,0.27186424,111
146,17946,18049,103,2.40601226161508,1.6485205890026455,5.484563122391701,0.25803617,0.23534903,0.2466926,95
147,18049,18211,162,3.1557280276873096,3.5144692867624094,8.03608331665303,0.49365017,0.53066736,0.51215875,197
148,18211,18289,78,2.642486110910193,1.7180990670602043,5.660750993092855,0.33235306,0.2557414,0.29404724,124
149,18289,18426,137,2.987775997203939,2.3574667260708178,7.102409563847442,0.4408677,0.422602,0.43173486,183
150,18426,18539,113,2.6376676181597367,1.6764996804829155,6.583469059250572,0.33083874,0.36253873,0.34668875,155
151,18539,18691,152,3.3667561119755374,3.0122292422695667,8.116906130873916,0.5599702,0.54002196,0.5499961,201
152,18691,18845,154,2.5999826594602826,1.7750650753287653,7.020174094185924,0.31899545,0.41308388,0.36603966,169
153,18845,18942,97,2.236285227971772,1.2666441467202578,4.955095705199749,0.20469585,0.17406736,0.1893816,56
154,18942,19041,99,3.9875994391587315,4.244985565695227,9.62268835057815,0.7550834,0.7143043,0.7346939,205
155,19041,19135,94,2.600334796854245,1.6213742417273342,5.972889064432501,0.3191061,0.2918689,0.3054875,133
156,19135,19225,90,3.0691715606142966,2.3296723371643697,7.6079601611214125,0.46644798,0.48111546,0.4737817,189
157,19225,19339,114,2.771173314183159,1.9020085195986043,6.876839026674494,0.37279573,0.39649397,0.38464487,175
158,19339,19444,105,2.3408845771963778,1.3049207689383855,5.697472471816867,0.23756841,0.25999162,0.24878001,96
159,19444,19538,94,4.766915817414561,6.294335445729635,12.091069618424216,1.0,1.0,1.0,206
160,19538,19685,147,2.320094944679574,1.387562980632974,5.382163277516763,0.23103482,0.22349706,0.22726594,82
161,19685,19822,137,3.5120294495102238,3.7708390386062947,9.052190608942686,0.60562545,0.64827377,0.6269496,204
162,19822,19983,161,2.661935679614544,1.8249425430141855,6.2147668618944625,0.33846548,0.31986436,0.32916492,150
163,19983,20059,76,1.916677676041921,1.0298115652799607,4.432391646790178,0.10425241,0.11356849,0.10891046,20
164,20059,20185,126,1.920912657737732,0.9292820249795913,4.345321651881303,0.10558335,0.10349082,0.104537085,18
165,20185,20378,193,2.380764943547547,1.5678104855275403,5.893303641520048,0.25010166,0.2826575,0.2663796,108
166,20378,20483,105,2.570700223629291,1.770561767455477,6.407632569471995,0.30979282,0.34218702,0.3259899,149
167,20483,20623,140,1.8320539046963342,0.8091341886910604,4.064121709035261,0.0776576,0.07094415,0.07430088,13
168,20623,20708,85,2.2092132163899287,1.1782499791256018,5.120172039764683,0.1961879,0.19317365,0.19468078,59
169,20708,20842,134,2.5360637392316545,1.516045815850559,6.3042936197674,0.29890758,0.33022636,0.31456697,141
170,20842,20972,130,2.3363421238208,1.288951947389878,5.813997970791314,0.23614083,0.2734785,0.25480968,102
171,20972,21087,115,2.0060681120345465,1.1245687660156636,4.682572711791311,0.13234524,0.14252497,0.13743511,32
172,21087,21165,78,2.3584964166988027,1.2825615190259823,5.1269449694951374,0.2431033,0.19395755,0.21853042,77
173,21165,21296,131,2.1302825648051043,1.1236787501436014,4.862784154713154,0.17138226,0.16338302,0.16738264,46
174,21296,21542,246,2.570643758165593,1.7116871978859511,6.365183786109641,0.30977508,0.33727393,0.3235245,148
175,21542,21688,146,2.462278906230269,1.446493252598006,5.652885512038544,0.27571914,0.25483102,0.26527506,107
176,21688,21777,89,1.8568498708985068,0.9506341047077016,4.075345269469327,0.08545026,0.07224319,0.07884672,16
177,21777,21904,127,1.972437091526531,1.0282600570677056,4.476002336990449,0.12177599,0.11861608,0.12019604,24
178,21904,22052,148,2.6910230239637856,2.123453148938462,6.686596518549426,0.3476068,0.3744749,0.36104086,166
179,22052,22207,155,2.4404024700452753,1.6708576063226377,6.046403542945259,0.268844,0.30037764,0.2846108,120
180,22207,22377,170,2.5105863495691287,1.8000256564886965,6.366030618459165,0.29090077,0.33737195,0.31413636,140
181,22377,22484,107,2.822888004329969,1.9231488029208947,7.2153842219939595,0.38904816,0.43567792,0.41236305,178
182,22484,22540,56,2.4744894699616866,1.5157484437931668,5.6889490249021994,0.27955657,0.2590051,0.26928085,110
183,22540,22679,139,2.7125509947106456,2.0210577186359013,6.98323009382276,0.35437244,0.4088079,0.3815902,174
184,22679,22908,229,2.7183563549790466,1.8636950017198135,6.651269912719727,0.35619688,0.37038612,0.3632915,167
185,22908,22972,64,1.7153605061864097,0.7246253925952173,3.934399495359327,0.04098424,0.05592983,0.048457034,5
186,22972,23064,92,2.5001371869674096,1.5294107338720626,5.827278209536263,0.2876169,0.2750156,0.28131625,117
187,23064,23209,145,2.2742511240972414,1.2555874448993967,5.517461411550012,0.21662743,0.23915675,0.2278921,83
188,23209,23314,105,2.9059174596690216,2.1212328548202866,7.123284572625861,0.41514194,0.4250181,0.42008,180
189,23314,23474,160,2.3050800235766284,1.2733342777586207,5.564997783132419,0.22631606,0.24465871,0.23548739,90
190,23474,23678,204,2.893920519375449,2.1478669153150225,7.1056034235811945,0.41137165,0.42297164,0.41717166,179
191,23678,23837,159,2.5092551283821276,1.8095338646369645,6.29482842867191,0.2904824,0.32913083,0.30980662,137
192,23837,24022,185,2.300862100785193,1.2429248445221912,5.492948106357029,0.22499049,0.23631953,0.23065501,86
193,24022,24147,125,2.545982673764229,1.7952500980107053,6.0929747995783075,0.3020248,0.3057679,0.30389637,130
194,24147,24242,95,2.759683339519704,1.8377142080125657,6.400570390017136,0.36918476,0.34136963,0.35527718,159
195,24242,24342,100,2.1729667054282293,1.0857292488969938,5.033390846449075,0.18479666,0.1831294,0.18396303,53
196,24342,24447,105,2.848379705674373,1.9999148017691017,6.836584939091813,0.39705947,0.39183488,0.39444718,177
197,24447,24614,167,2.601813503238092,1.7744815490062695,6.22941885089002,0.31957084,0.3215602,0.32056552,145
198,24614,24739,125,2.327578139881934,1.2348948502011838,5.446452890263229,0.23338658,0.23093808,0.23216233,88
199,24739,24892,153,2.71893626294638,2.026192462463912,6.138704036076864,0.35637912,0.31106067,0.3337199,152
200,24892,25059,167,2.6577039113245813,1.964492594643709,6.3091940865284055,0.33713558,0.33079356,0.3339646,153
201,25059,25151,92,2.387057044676372,1.611331044481351,6.067714274599311,0.25207907,0.30284417,0.27746162,113
202,25151,25318,167,2.78047676294683,1.8623130314321403,6.634602687707761,0.37571955,0.36845702,0.37208828,172
203,25318,25468,150,2.4983116340317184,1.6327950230880872,6.2324597600365985,0.28704318,0.32191217,0.3044777,132
204,25468,25601,133,3.3106649156772727,2.8697649699946246,8.20152278129871,0.54234236,0.54981565,0.54607904,199
205,25601,25650,49,2.678210890541474,1.7672401821861665,6.674462453178737,0.34358034,0.37307048,0.35832542,161
