epoch,train_mse,val_mse
0,0.15126329943460431,0.010786553462410996
1,0.01081969132249917,0.007415733316950034
2,0.009544784731511527,0.007573828610738736
3,0.009243383032535,0.006935204647531687
4,0.00915958691095142,0.006981340250577275
5,0.009057625781941508,0.006789552212579746
6,0.008914852420249135,0.006754752577606387
7,0.008853561027634438,0.00675620954591527
8,0.008746031082211513,0.0065859710222993025
9,0.00872110049186692,0.007056482984253289
10,0.008670004221170396,0.006579407130855698
11,0.008660573444124466,0.006798962684115395
12,0.008638447792474678,0.0065719275512750065
13,0.00867962245752571,0.006510945600376739
14,0.00865412605625179,0.0064451623346875484
15,0.008630719239011136,0.007101512161982542
16,0.008772686506338707,0.006621314341723667
17,0.008488726595313868,0.006585854466258492
18,0.008395318513520673,0.0064925939999973875
19,0.008429727913295212,0.0066216257483916454
20,0.008469098840888542,0.006794139002514859
21,0.0084479104700116,0.0064906174920556295
22,0.00836665914608868,0.0063927281723624215
23,0.008339426608851482,0.006380166685987472
24,0.008358062139098309,0.00636451916738529
25,0.00826809870679879,0.006364252586745404
26,0.008217857396441645,0.006344719342396169
27,0.008377581732302365,0.006487948901990342
28,0.008194187910610811,0.006436633681322166
29,0.008332991649856916,0.006284363257197613
