epoch,train_mse,val_mse
0,6.09472586049209,5.249843597412109
1,4.6197927104798255,4.028255462646484
2,3.5853351197783656,3.1631085872650146
3,2.8403184046102803,2.5198049545288086
4,2.2794417312380983,2.0328691005706787
5,1.8526366719889764,1.660296082496643
6,1.5250644409146505,1.374307632446289
7,1.2722496494992088,1.1522034406661987
8,1.0758673867090713,0.979290246963501
9,0.9229822625661858,0.8429535031318665
10,0.8038036123846641,0.7372322082519531
11,0.7094820479442611,0.6546682715415955
12,0.6352510661357634,0.5888699293136597
13,0.5766003876157368,0.5364018678665161
14,0.5305119461209487,0.4952782094478607
15,0.49394132026808313,0.46304166316986084
16,0.46499060561257827,0.43732884526252747
17,0.4420833470511136,0.4167863428592682
18,0.423536617866359,0.3983905613422394
19,0.40856767182195247,0.38527175784111023
20,0.39640063142641047,0.37411901354789734
21,0.38628903768338974,0.3640690743923187
22,0.37742094670966486,0.3559042513370514
23,0.36917606850045415,0.34820544719696045
24,0.36116561986150186,0.3407514989376068
25,0.352909151580434,0.3332238793373108
26,0.34448722321801345,0.3250415623188019
27,0.33607274537270176,0.31721511483192444
28,0.3280659710220264,0.3099099397659302
29,0.32008247928997774,0.3016609847545624
30,0.31249987200820467,0.2938477694988251
31,0.30473479807651976,0.2863081991672516
32,0.29775684649750034,0.2796718180179596
33,0.2907228233091323,0.2726017236709595
34,0.2838913968585851,0.26716166734695435
35,0.27849605977905595,0.26125165820121765
36,0.27147072841446884,0.25513461232185364
37,0.26502630531459853,0.2500244975090027
38,0.2604230010877721,0.24431683123111725
39,0.25370458870486007,0.239201620221138
40,0.2484858072864296,0.23499147593975067
41,0.24387278525661707,0.23218630254268646
42,0.24038617995139572,0.2264995276927948
43,0.23475788488187863,0.2219521552324295
44,0.2304270197226526,0.21874557435512543
45,0.2267665111286357,0.21355456113815308
46,0.22287524494061606,0.21074728667736053
47,0.21911441519546948,0.20810240507125854
48,0.2155725209555955,0.2042611837387085
49,0.21194255975789802,0.2020064890384674
