epoch,train_loss,val_loss,lr,mode,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10800674249701013,0.07067337928441117,9.997532801828658e-05,uniform,43,0.19255083797790157,0.0006754812217992413,0.0,0.0,0.0,0.037752353050173014,0.05356024260127433,0.10522027230138645,0.022032735921763916,0.005126954580326935,0.0,0.0,0.09661315959985041,0.022369255845492465
1,0.06225093659986093,0.05830563089103563,9.990133642141359e-05,uniform,43,,,,,,,,,,,,,,
2,0.0577450314296492,0.05133538511592727,9.977809823015401e-05,uniform,43,,,,,,,,,,,,,,
3,0.05353252988756646,0.05064653755291134,9.960573506572391e-05,uniform,43,,,,,,,,,,,,,,
4,0.05107213030539783,0.04919027693869092,9.93844170297569e-05,uniform,43,,,,,,,,,,,,,,
5,0.04873638218813989,0.04654493448599715,9.911436253643445e-05,uniform,43,,,,,,,,,,,,,,
6,0.04644029648883174,0.045973743109503674,9.879583809693738e-05,uniform,43,,,,,,,,,,,,,,
7,0.04484426160269311,0.042057918832939,9.842915805643157e-05,uniform,43,,,,,,,,,,,,,,
8,0.0441724530066057,0.043639441517932476,9.801468428384717e-05,uniform,43,,,,,,,,,,,,,,
9,0.042646317714766326,0.04060584608615149,9.75528258147577e-05,uniform,43,,,,,,,,,,,,,,
10,0.0403606462873713,0.04414859310180019,9.70440384477113e-05,uniform,43,0.8118830148559878,0.6656405836720515,0.0,0.5427140502099435,0.5598406400053929,0.4304164934362822,0.6243922032417925,0.3266483641337067,0.7697890581442872,0.2269644739200675,0.0,0.6438283719419094,0.7387617992640196,0.4124593655033382
11,0.04057117923062672,0.03879172575283558,9.64888242944126e-05,uniform,43,,,,,,,,,,,,,,
12,0.04014373685180245,0.041655166952674835,9.588773128419907e-05,uniform,43,,,,,,,,,,,,,,
13,0.03996398573545326,0.04294596029088852,9.5241352623301e-05,uniform,43,,,,,,,,,,,,,,
14,0.03927015516607833,0.03877241334946161,9.455032620941843e-05,uniform,43,,,,,,,,,,,,,,
15,0.0372969168765158,0.03977490670926182,9.381533400219321e-05,uniform,43,,,,,,,,,,,,,,
16,0.03655096401513519,0.03921246932462809,9.303710135019722e-05,uniform,43,,,,,,,,,,,,,,
17,0.034892581903546625,0.040120165236844696,9.22163962751008e-05,uniform,43,,,,,,,,,,,,,,
18,0.03532737101571151,0.03756037225196002,9.135402871372814e-05,uniform,43,,,,,,,,,,,,,,
19,0.03512943292270957,0.03827765729304747,9.045084971874742e-05,uniform,43,,,,,,,,,,,,,,
20,0.034692391895031836,0.03499054814695467,8.950775061878456e-05,uniform,43,0.7051509331358264,1.0,0.9239875046557134,0.6864624323165816,0.7036156306434364,0.5472703028350329,0.6262787619545155,0.9288544668698546,0.8996474708537441,0.6584480331430129,0.0,0.6943467978467291,0.8525754665679133,0.6668911401118621
21,0.03272452769407566,0.03680288785766925,8.852566213878951e-05,uniform,43,,,,,,,,,,,,,,
22,0.033653035341420126,0.03488381723069694,8.750555348152303e-05,uniform,43,,,,,,,,,,,,,,
23,0.03168796318254575,0.03428068058851481,8.644843137107063e-05,uniform,43,,,,,,,,,,,,,,
24,0.03200497973601251,0.03558455402335377,8.535533905932742e-05,uniform,43,,,,,,,,,,,,,,
25,0.031680630180502864,0.035288266920601295,8.422735529643448e-05,uniform,43,,,,,,,,,,,,,,
26,0.03104632875890931,0.03453577933722918,8.306559326618263e-05,uniform,43,,,,,,,,,,,,,,
27,0.030914651753478153,0.03352818507789227,8.187119948743452e-05,uniform,43,,,,,,,,,,,,,,
28,0.03023765222968893,0.03426564781272665,8.064535268264887e-05,uniform,43,,,,,,,,,,,,,,
29,0.029863025512342944,0.03349935961424882,7.938926261462371e-05,uniform,43,,,,,,,,,,,,,,
30,0.02899053153070574,0.03660245226106076,7.810416889260659e-05,uniform,43,0.9438375779198486,1.0,0.0,0.9288452202336124,0.9404593150592578,0.7058341437844594,0.5384954276241096,0.515582565879577,0.9870649185371421,0.6840673366422838,0.7274765652935758,0.4347962727859557,0.9719187889599243,0.6462621765839974
31,0.029773165381593112,0.037358527907322275,7.679133974894988e-05,uniform,43,,,,,,,,,,,,,,
32,0.02845562394609663,0.037251419378510606,7.545207078751862e-05,uniform,43,,,,,,,,,,,,,,
33,0.02781791637630992,0.03654143545384701,7.408768370508582e-05,uniform,43,,,,,,,,,,,,,,
34,0.027141728923623626,0.03502105166722776,7.26995249869774e-05,uniform,43,,,,,,,,,,,,,,
35,0.028310381775335822,0.032263774858527855,7.12889645782537e-05,uniform,43,,,,,,,,,,,,,,
36,0.026949118626085875,0.03570991453778518,6.985739453173908e-05,uniform,43,,,,,,,,,,,,,,
37,0.02678484042783716,0.034271359096675336,6.840622763423397e-05,uniform,43,,,,,,,,,,,,,,
38,0.026158246274336088,0.03443903648789893,6.693689601226464e-05,uniform,43,,,,,,,,,,,,,,
39,0.025407456580506745,0.03497380910718695,6.545084971874744e-05,uniform,43,,,,,,,,,,,,,,
40,0.025859182560705886,0.03600825672048908,6.394955530196154e-05,uniform,43,0.69738106526469,0.9940004830119138,0.37485077360718044,0.7176986297397729,0.8629132937302227,0.6586800212112205,0.49110416570998416,0.9650641994695067,0.9558575908664464,0.6031095206849565,1.0,0.6490348587864101,0.845690774138302,0.7278313053805701
41,0.024941599234139925,0.03713204942634835,6.24344943582428e-05,uniform,43,,,,,,,,,,,,,,
42,0.025416470133873364,0.03633646624466629,6.0907162069827195e-05,uniform,43,,,,,,,,,,,,,,
43,0.02449580812233624,0.036069768379788064,5.93690657292863e-05,uniform,43,,,,,,,,,,,,,,
44,0.024264049533197562,0.03754479188656976,5.7821723252011606e-05,uniform,43,,,,,,,,,,,,,,
45,0.02379022067750928,0.03224218182604822,5.6266661678215284e-05,uniform,43,,,,,,,,,,,,,,
46,0.023113655640844614,0.03725620627438487,5.470541566592577e-05,uniform,43,,,,,,,,,,,,,,
47,0.02340120509435582,0.03646632857625119,5.313952597646573e-05,uniform,43,,,,,,,,,,,,,,
48,0.02351408275514782,0.03665387957020009,5.1570537953906474e-05,uniform,43,,,,,,,,,,,,,,
49,0.022725189435317865,0.035686564559571615,5.0000000000000057e-05,uniform,43,,,,,,,,,,,,,,
50,0.02225165272194559,0.03731229560404034,4.842946204609364e-05,uniform,43,0.843678978578166,1.0,0.8780495328877995,0.9950208221784674,1.0,0.335082038872252,0.8972089640949914,0.8933631252165046,0.9589658327552634,0.39456841200783854,0.9774681378053589,0.9268403487849987,0.921839489289083,0.8256567214603475
51,0.022773142142554367,0.037247075619567936,4.686047402353438e-05,uniform,43,,,,,,,,,,,,,,
52,0.022211308702509674,0.041055395026156245,4.529458433407433e-05,uniform,43,,,,,,,,,,,,,,
53,0.021634731211115994,0.03871643970286733,4.3733338321784836e-05,uniform,43,,,,,,,,,,,,,,
54,0.020935137332137085,0.040883297249498664,4.21782767479885e-05,uniform,43,,,,,,,,,,,,,,
55,0.020854392589609246,0.038730282317098436,4.0630934270713814e-05,uniform,43,,,,,,,,,,,,,,
56,0.022113988699580842,0.039299001493194,3.909283793017293e-05,uniform,43,,,,,,,,,,,,,,
57,0.020261940792058536,0.039075527902049656,3.75655056417573e-05,uniform,43,,,,,,,,,,,,,,
58,0.020371774681055436,0.03708155669324787,3.605044469803859e-05,uniform,43,,,,,,,,,,,,,,
59,0.020020575369535092,0.036815304534584634,3.454915028125269e-05,uniform,43,,,,,,,,,,,,,,
60,0.020009411354213982,0.03783106626788634,3.3063103987735474e-05,uniform,43,0.6908742800510018,1.0,0.993850520545928,0.692420183647058,0.7137025585287161,0.9709188962118795,0.5190628124341773,1.0,0.9438209241965534,0.5954220934204784,1.0,0.5293797427808457,0.845437140025501,0.7958577731765637
61,0.018891436815465568,0.04034992468985894,3.159377236576616e-05,uniform,43,,,,,,,,,,,,,,
62,0.018915554268644455,0.04120153014374188,3.0142605468261005e-05,uniform,43,,,,,,,,,,,,,,
63,0.01919350855249935,0.040949259286011015,2.8711035421746404e-05,uniform,43,,,,,,,,,,,,,,
64,0.01834209515422854,0.04185582581933931,2.73004750130227e-05,uniform,43,,,,,,,,,,,,,,
65,0.018273523062172115,0.04396603005205063,2.5912316294914263e-05,uniform,43,,,,,,,,,,,,,,
66,0.018380763488022252,0.04233985711907391,2.4547929212481466e-05,uniform,43,,,,,,,,,,,,,,
