epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10590568003786856,0.10590568003786856,0.0,0.06765573403814383,9.997532801828658e-05,D,42,0.20430399390534765,0.0006754812217992413,0.0,0.0,0.0,0.03187271525242837,0.417073549742311,0.5447257802665989,0.02036541322857313,0.005126954580326935,0.004493420338383919,0.0,0.10248973756357345,0.10236578334086222
1,0.06094023914773023,0.060674067511649554,0.00026617158858242336,0.06247511625682053,9.990133642141359e-05,D,42,,,,,,,,,,,,,,
2,0.05730471331507348,0.05689329834227143,0.0004114150145300158,0.05576964572333453,9.977809823015401e-05,D,42,,,,,,,,,,,,,,
3,0.05484538292066689,0.05432122738131781,0.0005241555068741699,0.05219342129533751,9.960573506572391e-05,D,42,,,,,,,,,,,,,,
4,0.0517182181317484,0.05119201938578624,0.0005261987456981551,0.04702006950974465,9.93844170297569e-05,D,42,,,,,,,,,,,,,,
5,0.04933435685689037,0.04869833878320204,0.0006360180837319376,0.055160736723950034,9.911436253643445e-05,D,42,,,,,,,,,,,,,,
6,0.047729824397466376,0.04711742192823173,0.0006124024035305489,0.0450443111490785,9.879583809693738e-05,D,42,,,,,,,,,,,,,,
7,0.045590564514996046,0.044972928411712014,0.0006176361133972688,0.04678292341464967,9.842915805643157e-05,D,42,,,,,,,,,,,,,,
8,0.04469945026113038,0.04413153649644965,0.0005679137492120716,0.043636539022912056,9.801468428384717e-05,D,42,,,,,,,,,,,,,,
9,0.042212532497526545,0.04166517513945247,0.0005473573239223305,0.04652317203254553,9.75528258147577e-05,D,42,,,,,,,,,,,,,,
10,0.04239927207534179,0.0417774472574286,0.0006218247841559967,0.04142367996994341,9.70440384477113e-05,D,42,0.8418417541709279,0.9821834931381762,0.4915779685840484,0.37634269872348786,0.15148760659278745,0.4482620006953564,0.5362410698366339,0.501122396406608,0.8026918291490792,0.5725625076364627,2.387880589283333e-05,0.6909795817061689,0.912012623654552,0.4571291538136526
11,0.04129635058699897,0.04065129832265099,0.0006450522626189261,0.04166912003501988,9.64888242944126e-05,D,42,,,,,,,,,,,,,,
12,0.04116676960317225,0.04054310125933048,0.0006236682907400424,0.04299173715540715,9.588773128419907e-05,D,42,,,,,,,,,,,,,,
13,0.039518320934841054,0.03886862020446448,0.0006497007246382005,0.04217174608717885,9.5241352623301e-05,D,42,,,,,,,,,,,,,,
14,0.03955148842053539,0.038905222896127065,0.0006462654890439178,0.038949633415853765,9.455032620941843e-05,D,42,,,,,,,,,,,,,,
15,0.03900550378923211,0.03829391410223772,0.0007115896684273578,0.04006513862364125,9.381533400219321e-05,D,42,,,,,,,,,,,,,,
16,0.03785353488187815,0.037165168929025175,0.0006883659028322187,0.04231269392920168,9.303710135019722e-05,D,42,,,,,,,,,,,,,,
17,0.03717712566711044,0.036476558492484795,0.0007005671760936002,0.0407197822604263,9.22163962751008e-05,D,42,,,,,,,,,,,,,,
18,0.03651725883637236,0.035852478250810664,0.0006647805114734106,0.04042127547099402,9.135402871372814e-05,D,42,,,,,,,,,,,,,,
19,0.03688548864355605,0.036200646664189734,0.0006848419556237142,0.03680027876898908,9.045084971874742e-05,D,42,,,,,,,,,,,,,,
20,0.035601346919155626,0.03489480566298753,0.0007065412893566782,0.039283877516394124,8.950775061878456e-05,D,42,0.7031235120691903,0.5977617393323225,0.7466895782310126,0.7064554650754385,0.6795456061699352,0.7117752102585035,0.5747158027343704,0.6503396899743732,0.9082618565035462,0.7175417799630476,0.0,0.6020013840776492,0.6504426257007564,0.6297326372987877
21,0.03404218399046105,0.03335499497385996,0.0006871890354930517,0.038217472869968204,8.852566213878951e-05,D,42,,,,,,,,,,,,,,
22,0.03456400000554119,0.033884406167764274,0.0006795938230277279,0.03912835492703475,8.750555348152303e-05,D,42,,,,,,,,,,,,,,
23,0.034292340024999764,0.03361603793312322,0.0006763020390765356,0.038519846870188126,8.644843137107063e-05,D,42,,,,,,,,,,,,,,
24,0.03228300341970898,0.031636240717210766,0.0006467626803976344,0.03497886145650818,8.535533905932742e-05,D,42,,,,,,,,,,,,,,
25,0.03257365864359935,0.0320055401045532,0.0005681185196261973,0.03569445511032092,8.422735529643448e-05,D,42,,,,,,,,,,,,,,
26,0.03201064562753283,0.03140242449698622,0.0006082210917705079,0.03770440694336828,8.306559326618263e-05,D,42,,,,,,,,,,,,,,
27,0.031536456390968755,0.03098065490044202,0.0005558014867959215,0.03651103242055366,8.187119948743452e-05,D,42,,,,,,,,,,,,,,
28,0.03181945741940825,0.031273704952192,0.0005457524491191907,0.03650983652557459,8.064535268264887e-05,D,42,,,,,,,,,,,,,,
29,0.03151144345656358,0.030964972513343136,0.0005464709377373688,0.03483674939264331,7.938926261462371e-05,D,42,,,,,,,,,,,,,,
30,0.03032070417584706,0.02978493531247188,0.0005357688760355767,0.03352684595605783,7.810416889260659e-05,D,42,0.7052814455960418,0.948655370202861,0.9340798723739371,0.9866471438999024,0.9531543367198185,0.634242113121559,0.9516353899685275,1.0,1.0,0.5641889233438907,0.6359430526404463,0.5473056465413985,0.8269684078994514,0.8207196478609479
31,0.03085640586646752,0.03033025048939033,0.0005261553805294997,0.03964069181759106,7.679133974894988e-05,D,42,,,,,,,,,,,,,,
32,0.029165309922921174,0.028660194627477223,0.0005051152727196386,0.03928801122922124,7.545207078751862e-05,D,42,,,,,,,,,,,,,,
33,0.029353208495289135,0.02886337970058171,0.0004898287643329148,0.0372599731836664,7.408768370508582e-05,D,42,,,,,,,,,,,,,,
34,0.029325834490311297,0.028843193752965943,0.00048264074317076386,0.04056265310858164,7.26995249869774e-05,D,42,,,,,,,,,,,,,,
35,0.028549775002937188,0.028082498514681663,0.0004672765061524082,0.0356625376824747,7.12889645782537e-05,D,42,,,,,,,,,,,,,,
36,0.027885946395778745,0.027437329462371422,0.0004486169177703979,0.035162747523894436,6.985739453173908e-05,D,42,,,,,,,,,,,,,,
37,0.028154322135030475,0.027688211158171973,0.0004661109777027212,0.03361626011401153,6.840622763423397e-05,D,42,,,,,,,,,,,,,,
38,0.02723709433421231,0.026806532975324864,0.00043056132706818714,0.03394737008697631,6.693689601226464e-05,D,42,,,,,,,,,,,,,,
39,0.027090898273064143,0.026669709155621214,0.00042118911872521535,0.035968352643478856,6.545084971874744e-05,D,42,,,,,,,,,,,,,,
40,0.026677226668901065,0.026285244521619587,0.00039198217407312964,0.035405444651188556,6.394955530196154e-05,D,42,0.9716013573636771,0.8915357177784726,0.8535430212421922,0.8816367424131352,0.8730801704398196,0.6902119086668441,0.6289481928998323,0.9773056951311688,0.8908723509326478,0.9602436094271551,0.6472338899062667,0.37355673947011603,0.9315685375710749,0.7776632320529178
41,0.027204923791643024,0.02678753297640073,0.0004173908038786863,0.03874546920782641,6.24344943582428e-05,D,42,,,,,,,,,,,,,,
42,0.026296954395351978,0.02589377904447476,0.0004031753285648608,0.036022630252205486,6.0907162069827195e-05,D,42,,,,,,,,,,,,,,
43,0.02618639069933153,0.025821154470558456,0.00036523621654204066,0.03785454310117322,5.93690657292863e-05,D,42,,,,,,,,,,,,,,
44,0.025927311283138178,0.02556161566687959,0.0003656956192931406,0.035066049296016755,5.7821723252011606e-05,D,42,,,,,,,,,,,,,,
45,0.02440183902024908,0.024060910486131966,0.0003409285376390477,0.038377835895670086,5.6266661678215284e-05,D,42,,,,,,,,,,,,,,
46,0.025000768385387874,0.024654621397816476,0.00034614694546773994,0.03474030547628277,5.470541566592577e-05,D,42,,,,,,,,,,,,,,
47,0.02449790188750071,0.024150234938969024,0.00034766694993871775,0.034327540308106363,5.313952597646573e-05,D,42,,,,,,,,,,,,,,
48,0.02441077708211717,0.024105160111677276,0.0003056169793085558,0.031308884396658916,5.1570537953906474e-05,D,42,,,,,,,,,,,,,,
49,0.024523234642831165,0.024186758806132837,0.00033647578850236185,0.034829175864395344,5.0000000000000057e-05,D,42,,,,,,,,,,,,,,
50,0.023017984292279792,0.022715918960768664,0.0003020653498431761,0.03587927699840644,4.842946204609364e-05,D,42,0.9405605882219082,0.6787944249795685,1.0,0.9372986952504945,0.8116733081081152,0.32611333521545344,0.7221301559055089,0.6951717747185859,1.0,0.8825699953444877,0.98175062250703,0.9753814670903792,0.8096775066007385,0.8332089354140054
51,0.023737123925639897,0.02343839496293178,0.0002987289659283365,0.038845959591695615,4.686047402353438e-05,D,42,,,,,,,,,,,,,,
