epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10699294975080492,0.10699294975080492,0.0,0.06518103040701954,9.997532801828658e-05,E,43,0.1919090261957507,0.0006754812217992413,0.5381127034486188,0.0,0.17590493041619232,0.18381301467336883,0.05356024260127433,0.16527948341871634,0.43412222284060115,0.005126954580326935,0.0,0.0,0.09629225370877498,0.15559195519790986
1,0.062167984989023754,0.06184369881336778,0.0003242861759610628,0.05881226315706898,9.990133642141359e-05,E,43,,,,,,,,,,,,,,
2,0.05846923136570833,0.05798759218010627,0.00048163922404403854,0.05414997317759985,9.977809823015401e-05,E,43,,,,,,,,,,,,,,
3,0.05419216755132156,0.05347833305131644,0.0007138344652140645,0.049688814844645504,9.960573506572391e-05,E,43,,,,,,,,,,,,,,
4,0.051454144488737176,0.05058589990728216,0.0008682445430317382,0.046965581301960824,9.93844170297569e-05,E,43,,,,,,,,,,,,,,
5,0.049700852484984584,0.0486236885300531,0.0010771639587335213,0.047228602367953065,9.911436253643445e-05,E,43,,,,,,,,,,,,,,
6,0.04768750501746501,0.04645474877906963,0.0012327561948691427,0.046958035322668,9.879583809693738e-05,E,43,,,,,,,,,,,,,,
7,0.04623979016330942,0.04485338910805545,0.0013864010881483224,0.04297586011372278,9.842915805643157e-05,E,43,,,,,,,,,,,,,,
8,0.04567138583265257,0.04419590670857107,0.001475479167374597,0.04200780026473757,9.801468428384717e-05,E,43,,,,,,,,,,,,,,
9,0.044318314035322895,0.042696091066456485,0.0016222229491626122,0.04204599973976823,9.75528258147577e-05,E,43,,,,,,,,,,,,,,
