epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10586631533346678,0.10586631533346678,0.0,0.06758628460137468,9.999383162408304e-05,A,42,0.19692422042677368,0.0006754812217992413,0.0,0.0,0.0,0.03507110986500349,0.42911816261369795,0.30293551577799127,0.023531324075707807,0.005126954580326935,0.003948136997414887,0.0,0.09879985082428647,0.07997312039101424
1,0.06067405430677286,0.06067405430677286,0.0,0.06220841933237879,9.997532801828658e-05,A,42,,,,,,,,,,,,,,
2,0.0565983336181209,0.0565983336181209,0.0,0.05623076342438397,9.994449374809851e-05,A,42,,,,,,,,,,,,,,
3,0.053995476179329926,0.053995476179329926,0.0,0.05198338490567709,9.990133642141359e-05,A,42,,,,,,,,,,,,,,
4,0.05089476573439924,0.05089476573439924,0.0,0.046721230800214564,9.98458666866564e-05,A,42,,,,,,,,,,,,,,
5,0.048304377749051296,0.048304377749051296,0.0,0.052950805680532204,9.9778098230154e-05,A,42,,,,,,,,,,,,,,
6,0.046755829524468676,0.046755829524468676,0.0,0.043966570496559144,9.9698047772759e-05,A,42,,,,,,,,,,,,,,
7,0.044775843323227704,0.044775843323227704,0.0,0.04889567078728425,9.96057350657239e-05,A,42,,,,,,,,,,,,,,
8,0.04393960128165485,0.04393960128165485,0.0,0.044461440053163916,9.950118288582787e-05,A,42,,,,,,,,,,,,,,
9,0.04154729818853964,0.04154729818853964,0.0,0.047008125183352255,9.938441702975689e-05,A,42,,,,,,,,,,,,,,
10,0.04153202829304696,0.04153202829304696,0.0,0.040880797790330756,9.925546630773869e-05,A,42,0.5556448183504328,0.7779689586075784,0.0,0.41708373065586396,0.3728417389709729,0.4329787409984473,0.7419725422388417,0.5495442679975128,0.7316580072455223,0.6279002135981356,0.4737033492889247,0.6914228989792833,0.6668068884790056,0.5039105489973504
11,0.04044391466616586,0.04044391466616586,0.0,0.0414339549022547,9.911436253643444e-05,A,42,,,,,,,,,,,,,,
12,0.040329726147755054,0.040329726147755054,0.0,0.04272768029845075,9.896114053108829e-05,A,42,,,,,,,,,,,,,,
13,0.03862566446834964,0.03862566446834964,0.0,0.04107847485952733,9.879583809693738e-05,A,42,,,,,,,,,,,,,,
14,0.03883698026640742,0.03883698026640742,0.0,0.03814061840898112,9.861849601988384e-05,A,42,,,,,,,,,,,,,,
15,0.03825056405427555,0.03825056405427555,0.0,0.04030113220868403,9.842915805643157e-05,A,42,,,,,,,,,,,,,,
16,0.037243657479912304,0.037243657479912304,0.0,0.042824168045792664,9.822787092288992e-05,A,42,,,,,,,,,,,,,,
17,0.03639811412260483,0.03639811412260483,0.0,0.040471889725641204,9.801468428384718e-05,A,42,,,,,,,,,,,,,,
18,0.03600683797446438,0.03600683797446438,0.0,0.039860633879965336,9.778965073991652e-05,A,42,,,,,,,,,,,,,,
19,0.036245178309844084,0.036245178309844084,0.0,0.0356605589487835,9.75528258147577e-05,A,42,,,,,,,,,,,,,,
20,0.03503876933129876,0.03503876933129876,0.0,0.03919721341838962,9.730426794137729e-05,A,42,0.7024525943845228,0.3967254672680756,0.712134205868572,0.6091162562099028,0.7158854274490662,0.8939464201923967,0.8981071355301571,0.6375984011150228,0.8886945853347654,0.6181061505678124,0.849556351268565,0.15983630209390642,0.5495890308262992,0.6982981235630167
21,0.033703828519031975,0.033703828519031975,0.0,0.03840715917186779,9.70440384477113e-05,A,42,,,,,,,,,,,,,,
22,0.03395291101566235,0.03395291101566235,0.0,0.038134618819152054,9.67722015414934e-05,A,42,,,,,,,,,,,,,,
23,0.03398116359314874,0.03398116359314874,0.0,0.03845352106319185,9.64888242944126e-05,A,42,,,,,,,,,,,,,,
24,0.03211544183873092,0.03211544183873092,0.0,0.035600901104248406,9.619397662556436e-05,A,42,,,,,,,,,,,,,,
