epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10559568216985588,0.10559568216985588,0.0,0.06753431497827957,9.997532801828658e-05,D,42,0.19029749660605202,0.0006754812217992413,0.0,0.0,0.0,0.03187271525242837,0.49120410686839105,0.47751445904030565,0.010132236525322535,0.005126954580326935,0.012635887477713072,0.0,0.09548648891392564,0.10284863597444875
1,0.06056313515095667,0.06053509669930955,2.8038508957708103e-05,0.062346133001540835,9.990133642141359e-05,D,42,,,,,,,,,,,,,,
2,0.056585062291485036,0.05653777406989126,4.7288174708197865e-05,0.05686717867981969,9.977809823015401e-05,D,42,,,,,,,,,,,,,,
3,0.05411849842827167,0.05404995184798726,6.854658241127472e-05,0.05154043740609236,9.960573506572391e-05,D,42,,,,,,,,,,,,,,
4,0.05099989421089347,0.05092088989185636,7.900428967255239e-05,0.04680750128862105,9.93844170297569e-05,D,42,,,,,,,,,,,,,,
5,0.04843873580831565,0.04833523911517559,0.00010349664633009304,0.05334120970546154,9.911436253643445e-05,D,42,,,,,,,,,,,,,,
6,0.046998540310863486,0.04688751721974504,0.0001110231341457391,0.04483498673428569,9.879583809693738e-05,D,42,,,,,,,,,,,,,,
7,0.04496364104910568,0.04484080802426455,0.00012283306779662151,0.048289017608029804,9.842915805643157e-05,D,42,,,,,,,,,,,,,,
8,0.04412989573704711,0.04399929803267323,0.00013059767225834793,0.04543208270088622,9.801468428384717e-05,D,42,,,,,,,,,,,,,,
9,0.04179511175296333,0.04166818908831636,0.00012692270424806477,0.046504684978801954,9.75528258147577e-05,D,42,,,,,,,,,,,,,,
10,0.04176956964018005,0.04161630896628616,0.00015326069246491191,0.04115724889724924,9.70440384477113e-05,D,42,0.9513653801109608,0.7400684891457254,0.418017492918895,0.6171307450798388,0.3380548418494456,0.06840424986141924,0.9633307328792745,0.5636084944431268,0.7565814400327303,0.7166423720455135,0.45395037403414873,0.946395553826446,0.8457169346283431,0.5842116296970838
11,0.04065697126987686,0.040491517545934615,0.00016545371010327005,0.04175254007507312,9.64888242944126e-05,D,42,,,,,,,,,,,,,,
12,0.04047365878163532,0.040326331202178434,0.00014732755654545747,0.04295705381388727,9.588773128419907e-05,D,42,,,,,,,,,,,,,,
13,0.038683471177441725,0.03852851062150081,0.0001549605398028226,0.04118061457482869,9.5241352623301e-05,D,42,,,,,,,,,,,,,,
14,0.038796775002163233,0.038652033851432954,0.0001447411495567784,0.03837267657447802,9.455032620941843e-05,D,42,,,,,,,,,,,,,,
15,0.03823923671349253,0.03808898735268597,0.00015024933561994186,0.0397528345876357,9.381533400219321e-05,D,42,,,,,,,,,,,,,,
16,0.0372811654780173,0.037132864985822966,0.000148300543694647,0.042663036979604184,9.303710135019722e-05,D,42,,,,,,,,,,,,,,
17,0.03629226769221147,0.03614689509697746,0.00014537259659753478,0.04085665734059978,9.22163962751008e-05,D,42,,,,,,,,,,,,,,
18,0.03583468440949822,0.0357085226799556,0.0001261617204367926,0.04006321872992997,9.135402871372814e-05,D,42,,,,,,,,,,,,,,
19,0.03648122202677792,0.03634333504776825,0.00013788696330021104,0.036928449290101986,9.045084971874742e-05,D,42,,,,,,,,,,,,,,
