epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,test/sim_max_reward_10010,test/sim_max_reward_10011,test/sim_max_reward_10012,test/sim_max_reward_10013,test/sim_max_reward_10014,test/sim_max_reward_10015,test/sim_max_reward_10016,test/sim_max_reward_10017,test/sim_max_reward_10018,test/sim_max_reward_10019,test/sim_max_reward_10020,test/sim_max_reward_10021,test/sim_max_reward_10022,test/sim_max_reward_10023,test/sim_max_reward_10024,test/sim_max_reward_10025,test/sim_max_reward_10026,test/sim_max_reward_10027,test/sim_max_reward_10028,test/sim_max_reward_10029,test/sim_max_reward_10030,test/sim_max_reward_10031,test/sim_max_reward_10032,test/sim_max_reward_10033,test/sim_max_reward_10034,test/sim_max_reward_10035,test/sim_max_reward_10036,test/sim_max_reward_10037,test/sim_max_reward_10038,test/sim_max_reward_10039,test/sim_max_reward_10040,test/sim_max_reward_10041,test/sim_max_reward_10042,test/sim_max_reward_10043,test/sim_max_reward_10044,test/sim_max_reward_10045,test/sim_max_reward_10046,test/sim_max_reward_10047,test/sim_max_reward_10048,test/sim_max_reward_10049,train/mean_score,test/mean_score
20,0.044545618095734985,0.04164751537559882,0.0028981027071456156,0.03978066032752395,8.950775061878456e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.04677356021726592,0.04386048817751298,0.002913072020860435,0.04842889791354537,8.852566213878951e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.04548384823992273,0.04293223071739461,0.0025516175578461755,0.04287045657634735,8.750555348152303e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.045539434031931114,0.04288490012272105,0.0026545338617758167,0.04573236182332039,8.644843137107063e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.04445385591970365,0.04174611090918275,0.002707744996968253,0.04210933793336153,8.535533905932742e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.04468866266997715,0.04198706214607977,0.002701600488079682,0.04041808834299445,8.422735529643448e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.043136827539764507,0.040622155495835345,0.0025146720253020802,0.04586880156770348,8.306559326618263e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.042470476855903605,0.039686777676923336,0.00278369921823297,0.04113667968660593,8.187119948743452e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0414898534727087,0.03907948129514608,0.0024103721480528313,0.04511653680354357,8.064535268264887e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.042441406391177314,0.04008091809507859,0.002360488355680381,0.053491672836244106,7.938926261462371e-05,E,43,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94
30,0.04225636450094151,0.039923533745301894,0.0023328308419206046,0.043243723642081025,7.810416889260659e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.04219238623145312,0.03994285993381951,0.0022495262413308155,0.0472216534242034,7.679133974894988e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.04123787474398833,0.03901406371558301,0.0022238110068272658,0.04627239333465696,7.545207078751862e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.04146322772074731,0.03905171398453158,0.002411513687204495,0.039684763755649326,7.408768370508582e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.04077502620474399,0.038601176345584985,0.002173849871368877,0.041143827978521584,7.26995249869774e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0419362675650405,0.0394946675100104,0.0024416000719552924,0.04252319365739823,7.12889645782537e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.04057786972441835,0.03845238613460389,0.002125483580727316,0.038786108773201704,6.985739453173908e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.04107389070469358,0.03875911672491692,0.0023147740950209615,0.03972279293462634,6.840622763423397e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0399906756636155,0.03770813545963603,0.0022825401422899676,0.03673270891420543,6.693689601226464e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.039624014461628866,0.03742281366599316,0.002201200800663302,0.04289649961516261,6.545084971874744e-05,E,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.039484542616655,0.037352458409997014,0.00213208410659015,0.03824156915768981,6.394955530196154e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.03866016610761377,0.036355783167602934,0.0023043828897973593,0.04396843388676643,6.24344943582428e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0383659452119994,0.03618643631910817,0.002179508824409795,0.038077423945069314,6.0907162069827195e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.037469450959959766,0.035507019812065325,0.0019624311174946795,0.03895769573748112,5.93690657292863e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.03963591501940154,0.03747893346457586,0.0021569814954313766,0.04016338357701898,5.7821723252011606e-05,E,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
