epoch,train_loss,val_loss,lr,mode,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10650860562777975,0.06713370986021401,9.997532801828658e-05,uniform,42,0.21468397860361127,0.0006754812217992413,0.0,0.0,0.0,0.03187271525242837,0.05356024260127433,0.11764602812319414,0.004314832523160554,0.005126954580326935,0.0,0.0,0.10767972991270526,0.021252077308038433
1,0.060727197714773806,0.061117512262181234,9.990133642141359e-05,uniform,42,,,,,,,,,,,,,,
2,0.05691010973964368,0.05226078831443661,9.977809823015401e-05,uniform,42,,,,,,,,,,,,,,
3,0.053617986882375804,0.04955896630621793,9.960573506572391e-05,uniform,42,,,,,,,,,,,,,,
4,0.050989691889213554,0.04676412573378337,9.93844170297569e-05,uniform,42,,,,,,,,,,,,,,
5,0.04816350021564433,0.05079175600487935,9.911436253643445e-05,uniform,42,,,,,,,,,,,,,,
6,0.046228187792211106,0.04518611326552274,9.879583809693738e-05,uniform,42,,,,,,,,,,,,,,
7,0.04527749613289865,0.04741837579691619,9.842915805643157e-05,uniform,42,,,,,,,,,,,,,,
8,0.043827242881543875,0.044949081945314745,9.801468428384717e-05,uniform,42,,,,,,,,,,,,,,
9,0.04147267134999782,0.04548296266676564,9.75528258147577e-05,uniform,42,,,,,,,,,,,,,,
10,0.04167059069630085,0.041981751506069774,9.70440384477113e-05,uniform,42,0.42136169883814795,0.6110740350377426,0.0,0.5104903197767507,0.0,0.5449754994907663,0.0692530103765913,0.4774054961659274,0.8110497593284458,0.44441992647483797,0.0,0.5661882335134725,0.5162178669379452,0.3423782245126792
11,0.04029745439719557,0.04600924433192663,9.64888242944126e-05,uniform,42,,,,,,,,,,,,,,
12,0.040428073171443014,0.043709109759513746,9.588773128419907e-05,uniform,42,,,,,,,,,,,,,,
13,0.03809191117232496,0.0425734958006886,9.5241352623301e-05,uniform,42,,,,,,,,,,,,,,
14,0.03800292192970178,0.04042113377925074,9.455032620941843e-05,uniform,42,,,,,,,,,,,,,,
15,0.0376905613728135,0.04057511648882115,9.381533400219321e-05,uniform,42,,,,,,,,,,,,,,
16,0.03608693800416539,0.042446772401270115,9.303710135019722e-05,uniform,42,,,,,,,,,,,,,,
17,0.035429208564677496,0.03911459485493731,9.22163962751008e-05,uniform,42,,,,,,,,,,,,,,
18,0.03494395984803138,0.039229223965422104,9.135402871372814e-05,uniform,42,,,,,,,,,,,,,,
19,0.0354556255881783,0.03822643407538795,9.045084971874742e-05,uniform,42,,,,,,,,,,,,,,
20,0.03376189734455513,0.039683749291457626,8.950775061878456e-05,uniform,42,0.669592563668975,1.0,0.9116932033909146,0.6981500244111712,0.636951467649884,0.6240735742315985,0.719621051274341,0.6913088641654934,0.9587218915966913,0.005126954580326935,0.8328575432739371,0.6751430949933894,0.8347962818344875,0.6753647669567748
21,0.032809909550098784,0.042548645333501334,8.852566213878951e-05,uniform,42,,,,,,,,,,,,,,
22,0.03347681746580467,0.039095741922133845,8.750555348152303e-05,uniform,42,,,,,,,,,,,,,,
23,0.033720174822339896,0.03872738239731182,8.644843137107063e-05,uniform,42,,,,,,,,,,,,,,
24,0.03178872887759605,0.035015173952438326,8.535533905932742e-05,uniform,42,,,,,,,,,,,,,,
25,0.031717902355407036,0.03766293455111353,8.422735529643448e-05,uniform,42,,,,,,,,,,,,,,
26,0.031317460915872876,0.040163490653299445,8.306559326618263e-05,uniform,42,,,,,,,,,,,,,,
27,0.0308083533673314,0.03670927659657441,8.187119948743452e-05,uniform,42,,,,,,,,,,,,,,
28,0.03107088269959939,0.03583499991841484,8.064535268264887e-05,uniform,42,,,,,,,,,,,,,,
29,0.030747888714299378,0.0353200154754807,7.938926261462371e-05,uniform,42,,,,,,,,,,,,,,
30,0.029895937468142113,0.0345996519812105,7.810416889260659e-05,uniform,42,0.44003205726269856,0.9121121336451882,0.0,0.7068232468885599,0.6818132985802339,0.66690486014781,0.9799854819696163,0.9675636590874493,0.6771825206313402,0.7020262130275859,0.2698146479179427,0.37386476060585466,0.6760720954539434,0.6025978688856394
31,0.030026669522667186,0.04185767707725366,7.679133974894988e-05,uniform,42,,,,,,,,,,,,,,
32,0.02877674257847669,0.03965156211338022,7.545207078751862e-05,uniform,42,,,,,,,,,,,,,,
33,0.02910670998767672,0.0353380041948536,7.408768370508582e-05,uniform,42,,,,,,,,,,,,,,
34,0.028173602970229368,0.039271373687344686,7.26995249869774e-05,uniform,42,,,,,,,,,,,,,,
35,0.027855185899167564,0.03545347657871612,7.12889645782537e-05,uniform,42,,,,,,,,,,,,,,
36,0.02735470476997734,0.03523606604716757,6.985739453173908e-05,uniform,42,,,,,,,,,,,,,,
37,0.027889197886671924,0.03489077868462916,6.840622763423397e-05,uniform,42,,,,,,,,,,,,,,
38,0.026913014853646475,0.03567179405179463,6.693689601226464e-05,uniform,42,,,,,,,,,,,,,,
39,0.02644054408120571,0.034789530470509804,6.545084971874744e-05,uniform,42,,,,,,,,,,,,,,
40,0.02597779187075259,0.037374618789998065,6.394955530196154e-05,uniform,42,0.5747953106000624,0.9565262784336563,0.5565675297269261,0.7303107771280346,0.9493332573790251,0.7197571474518384,0.872035406293334,0.6080248705350821,0.9412378673536278,0.7051901130556346,0.708696375339542,0.5116139526651764,0.7656607945168594,0.7302767296928222
41,0.026796401651580617,0.03906574126071574,6.24344943582428e-05,uniform,42,,,,,,,,,,,,,,
42,0.02563133825617805,0.03828814947781594,6.0907162069827195e-05,uniform,42,,,,,,,,,,,,,,
43,0.025855334851340474,0.03822083517320846,5.93690657292863e-05,uniform,42,,,,,,,,,,,,,,
44,0.02474620257150768,0.036349857807682275,5.7821723252011606e-05,uniform,42,,,,,,,,,,,,,,
45,0.024347038654962544,0.037461971357595505,5.6266661678215284e-05,uniform,42,,,,,,,,,,,,,,
46,0.024916888122740937,0.03694045350543763,5.470541566592577e-05,uniform,42,,,,,,,,,,,,,,
47,0.024054510310586346,0.03701271481256475,5.313952597646573e-05,uniform,42,,,,,,,,,,,,,,
48,0.023707183333599502,0.0325124195401083,5.1570537953906474e-05,uniform,42,,,,,,,,,,,,,,
49,0.02370088371220587,0.03561731679855209,5.0000000000000057e-05,uniform,42,,,,,,,,,,,,,,
50,0.022741395001822526,0.03615344214792314,4.842946204609364e-05,uniform,42,0.6868556900190725,1.0,0.14126383766495107,0.7266887893035566,1.0,0.5306496542051418,1.0,0.6920141802228361,1.0,0.6508792405846989,0.846707173746243,0.6781499952230007,0.8434278450095363,0.7266352870950428
51,0.023332426841950055,0.03711838697883905,4.686047402353438e-05,uniform,42,,,,,,,,,,,,,,
52,0.02311273534823821,0.038508946540062886,4.529458433407433e-05,uniform,42,,,,,,,,,,,,,,
53,0.021478289198925037,0.03891799509067807,4.3733338321784836e-05,uniform,42,,,,,,,,,,,,,,
